Comunidad;Ciudad;Cantidad de perfiles facebook;Tasa desempleo ciudad;% Población sedentaria;Salario medio por hora;Parques m2/hab;Usuarios jóvenes (18-39);Usuarios adultos (40-64);Usuarios mayores (+ 65);Hombres;Mujeres;Población
Castilla-La Mancha;Albacete;63.57;20.72;43.18;14.09;7.16;29.47;28.89;3.81;30.05;32.36;173050.00
Comunidad de Madrid;Alcalá de Henares;49.03;10.20;34.48;17.13;11.20;21.16;23.74;3.46;22.71;25.29;193751.00
Comunidad de Madrid;Alcorcón;55.46;10.15;34.48;17.13;7.80;21.83;27.73;5.90;24.78;30.09;169502.00
Comunidad Valenciana;Alicante;87.46;15.01;37.31;14.38;6.12;39.21;42.22;7.54;39.21;48.25;331577.00
Andalucía;Almería;101.60;19.71;39.20;14.48;6.50;50.29;45.72;6.10;47.75;55.88;196851.00
Extremadura;Badajoz;73.08;24.65;29.47;13.21;6.75;32.55;31.89;5.31;32.55;37.87;150530.00
Cataluña;Badalona;51.44;10.50;37.35;16.52;6.55;21.59;24.80;5.05;24.80;26.64;217741.00
Cataluña;Barcelona;117.26;10.58;37.35;16.52;5.53;54.93;49.37;8.64;53.08;59.86;1620343.00
País Vasco;Bilbao;89.64;10.72;30.47;18.87;5.73;40.48;43.38;5.21;40.48;49.16;345821.00
Castilla y León;Burgos;47.75;9.76;26.38;14.33;2.80;21.60;22.17;3.30;22.17;25.01;175921.00
Región de Murcia;Cartagena;44.40;16.20;44.99;13.85;5.97;20.10;20.57;3.51;20.57;23.37;213943.00
Comunidad Valenciana;Castellón de la plana;87.78;13.81;37.31;14.38;2.73;38.62;43.89;5.85;41.55;46.81;170888.00
Andalucía;Córdoba;70.62;24.89;39.15;14.48;5.34;30.70;33.77;6.14;29.17;36.84;325708.00
Andalucía;Dos Hermanas;23.28;19.01;39.20;14.48;6.80;9.76;12.01;1.80;10.51;12.77;133168.00
Comunidad Valenciana;Elche;37.29;13.08;37.31;14.38;4.34;16.48;18.64;2.47;16.91;20.38;230625.00
Comunidad de Madrid;Fuenlabrada;47.01;9.89;34.45;17.13;7.80;19.11;23.76;4.24;21.70;24.80;193586.00
Comunidad de Madrid;Getafe;66.39;10.20;34.47;17.13;7.80;28.22;30.98;4.98;30.98;33.75;180747.00
Principado de Asturias;Gijón;51.50;14.10;33.92;15.64;7.85;18.76;27.59;6.25;23.54;28.69;271843.00
Andalucía;Granada;124.89;19.08;39.40;14.48;7.39;60.29;51.68;8.61;55.98;68.90;232208.00
Cataluña;Hospitalet de Llobregat;68.95;10.59;37.35;16.52;6.55;33.32;31.41;5.75;34.09;36.77;261068.00
Andalucía;Huelva;90.12;19.42;39.42;14.48;7.39;42.29;42.98;6.45;42.29;49.91;144258.00
Andalucía;Jerez de la Frontera;46.98;19.06;39.40;14.48;6.80;19.26;23.49;3.57;21.14;25.37;212879.00
Galicia;La Coruña;89.85;11.46;24.27;14.23;6.58;37.98;44.93;6.94;38.80;49.01;244850.00
Canarias;Las Palmas de G.C.;89.82;17.43;41.49;12.94;4.31;39.63;44.91;6.34;39.63;50.20;378517.00
Comunidad de Madrid;Leganés;58.38;10.10;34.48;17.13;11.60;23.88;28.66;5.09;26.54;31.31;188425.00
Cataluña;Lérida;72.54;7.55;37.35;16.52;10.10;35.54;33.37;5.37;36.27;37.00;137856.00
La Rioja;Logroño;56.25;11.21;24.56;14.62;7.80;25.15;27.79;3.84;25.81;30.44;151113.00
Comunidad de Madrid;Madrid;96.17;10.60;34.49;17.13;15.78;46.54;43.43;6.20;43.43;52.74;3223334.00
Andalucía;Málaga;99.82;19.40;39.35;14.48;2.92;45.53;47.28;8.23;45.53;54.29;571026.00
Andalucía;Marbella;70.69;19.02;39.38;14.48;6.80;31.10;33.93;6.50;32.52;38.88;141463.00
Comunidad de Madrid;Móstoles;45.39;10.50;34.48;17.13;12.80;18.83;21.25;4.83;20.76;24.63;207095.00
Región de Murcia;Murcia;84.98;16.46;44.99;13.85;3.38;42.49;35.78;4.70;38.02;44.72;447182.00
Principado de Asturias;Oviedo;72.72;14.37;33.92;15.64;7.31;27.72;35.45;7.27;30.91;38.63;220020.00
Islas Baleares;Palma;87.88;18.20;39.58;14.87;3.42;41.50;39.06;6.35;41.50;46.38;409661.00
Comunidad Foral de Navarra;Pamplona;80.38;8.55;22.03;17.38;12.29;39.69;36.17;4.97;36.67;43.70;199066.00
Cataluña;Sabadell;41.19;10.57;37.35;16.52;6.55;16.38;20.60;4.12;19.66;21.53;213644.00
Castilla y León;Salamanca;61.40;13.17;26.38;14.33;7.12;28.34;27.39;4.72;26.92;33.06;211734.00
Canarias;San Cristóbal de La Laguna;15.43;17.05;41.49;12.94;4.20;7.07;7.07;1.35;7.71;7.71;155549.00
País Vasco;San Sebastián;58.93;6.91;30.47;18.87;8.17;28.39;27.32;4.23;26.79;33.21;186665.00
Canarias;Santa Cruz de Tenerife;117.16;20.25;41.49;12.94;4.60;53.70;58.58;7.81;48.81;63.46;204856.00
Cantabria;Santander;87.19;11.09;43.83;14.42;10.62;38.36;43.01;7.56;38.94;49.41;172044.00
Andalucía;Sevilla;90.02;21.70;39.47;14.48;11.27;42.11;42.11;6.53;39.20;50.82;688711.00
Cataluña;Tarragona;98.26;12.83;37.35;16.52;4.01;43.08;43.84;7.56;44.60;49.13;132299.00
Cataluña;Tarrasa;37.52;10.40;37.35;16.52;6.55;15.10;18.76;3.57;17.85;19.22;218535.00
Comunidad de Madrid;Torrejón de Ardoz;53.96;10.30;34.49;17.13;13.50;23.13;26.21;4.16;25.44;28.52;129729.00
Comunidad Valenciana;Valencia;92.24;14.08;37.31;14.38;4.18;41.70;44.22;6.82;41.70;50.54;791413.00
Castilla y León;Valladolid;66.92;9.55;26.38;14.33;11.00;27.77;32.79;5.35;30.78;33.46;298866.00
Galicia;Vigo;71.52;15.27;24.27;14.23;3.64;30.65;37.46;5.45;32.35;37.46;293642.00
País Vasco;Vitoria;48.16;10.50;30.47;18.87;26.76;22.88;23.68;3.21;23.68;25.68;249176.00
Aragón;Zaragoza;61.48;11.06;37.32;15.29;9.02;28.49;29.99;4.80;28.49;32.99;666880.00
